,UserID,ItemID,Rating,Timestamp
0,7t5a08,방화역 버블베어,4점,2017.12.29.
1,e8ro6t,광나루역 뉴욕핫도그앤커피,3점,2020.04.07.
2,fkl5ls,신정역 커피니,5점,2017.04.26.
3,,신정역 커피니,,2017.06.17.
4,,신정역 커피니,,2017.06.17.
5,cm6egl,목동역 커피에반하다,5점,2021.02.12.
6,rctmof,오목교역 뉴웨이브커피로스터스,5점,2020.11.16.
7,17qbpso,오목교역 뉴웨이브커피로스터스,3점,2020.09.17.
8,m8c8qs,오목교역 뉴웨이브커피로스터스,4점,2019.12.26.
9,mvqft5,오목교역 뉴웨이브커피로스터스,5점,2018.10.28.
10,16hlces,까치산역 커피볶는집와플에숍,5점,2021.03.27.
11,15lgiuu,까치산역 커피볶는집와플에숍,1점,2020.08.28.
12,umq5ub,까치산역 커피볶는집와플에숍,4점,2019.09.29.
13,10egoq0,까치산역 커피볶는집와플에숍,4점,2019.09.05.
14,10svfbl,까치산역 커피볶는집와플에숍,5점,2016.08.23.
15,10ho27k,까치산역 커피볶는집와플에숍,4점,2016.03.10.
16,,까치산역 커피볶는집와플에숍,,2018.07.03.
17,,까치산역 커피볶는집와플에숍,,2016.03.22.
18,,까치산역 커피볶는집와플에숍,,2016.03.16.
19,,까치산역 커피볶는집와플에숍,,2016.03.15.
20,,까치산역 커피볶는집와플에숍,,2016.03.15.
21,,까치산역 커피볶는집와플에숍,,2013.11.11.
22,,까치산역 커피볶는집와플에숍,,2013.08.25.
23,,까치산역 커피볶는집와플에숍,,2013.08.15.
24,,까치산역 커피볶는집와플에숍,,2013.08.07.
25,bnrbtk,우장산역 알랑가,5점,2020.03.21.
26,100e6hf,우장산역 알랑가,4점,2020.01.17.
27,,우장산역 알랑가,,2018.06.25.
28,12fd9ep,목동역 카카오독애견카페,5점,2020.05.16.
29,14fbkko,목동역 카카오독애견카페,5점,2020.03.31.
30,95ou76,목동역 카카오독애견카페,1점,2019.08.01.
31,n9na3a,목동역 카카오독애견카페,1점,2019.05.30.
32,,목동역 카카오독애견카페,,2018.07.22.
33,,목동역 카카오독애견카페,,2018.07.06.
34,,목동역 카카오독애견카페,,2016.03.15.
35,,목동역 카카오독애견카페,,2014.05.21.
36,,목동역 카카오독애견카페,,2013.08.28.
37,,목동역 카카오독애견카페,,2013.05.19.
38,,목동역 카카오독애견카페,,2013.05.09.
39,162ho0p,마포역 초록이네,5점,2020.08.16.
40,o129f3,마포역 초록이네,5점,2020.08.13.
41,127frq2,마포역 초록이네,5점,2019.08.16.
42,bakhpk,마포역 초록이네,5점,2019.08.11.
43,sf4paq,마포역 초록이네,5점,2018.11.07.
44,k55r53,마포역 초록이네,5점,2018.11.07.
45,sf1t2b,마포역 초록이네,5점,2018.11.07.
46,10oorbh,마포역 초록이네,5점,2018.10.18.
47,,마포역 초록이네,5점,2018.06.17.
48,,마포역 초록이네,5점,2018.06.17.
49,,마포역 초록이네,5점,2018.03.01.
50,,마포역 초록이네,5점,2018.01.15.
51,12hiqh4,마포역 할리스커피마포역점,2점,2021.03.20.
52,17cqbgs,마포역 할리스커피마포역점,2점,2021.03.11.
53,n7onc1,마포역 할리스커피마포역점,4점,2021.02.26.
54,muqep4,마포역 할리스커피마포역점,3점,2021.01.29.
55,171cu84,마포역 할리스커피마포역점,1점,2021.01.27.
56,15ukv1m,마포역 할리스커피마포역점,1점,2020.11.10.
57,f85akd,마포역 할리스커피마포역점,2점,2020.11.07.
58,17jrdn4,마포역 할리스커피마포역점,1점,2020.10.19.
59,dug7p2,마포역 할리스커피마포역점,1점,2020.10.14.
60,11rnv9a,마포역 할리스커피마포역점,2점,2020.09.16.
61,u8i246,마포역 할리스커피마포역점,3점,2020.08.20.
62,192ib52,마포역 할리스커피마포역점,3점,2020.07.20.
63,o3a7i9,마포역 할리스커피마포역점,3점,2020.07.04.
64,lo7aqb,마포역 할리스커피마포역점,1점,2020.05.29.
65,mogng6,마포역 할리스커피마포역점,1점,2020.05.14.
66,7kp4t9,마포역 할리스커피마포역점,1점,2020.05.14.
67,15kbaqu,마포역 할리스커피마포역점,4점,2020.01.20.
68,14grqmm,마포역 할리스커피마포역점,5점,2020.01.15.
69,fkmu8h,마포역 할리스커피마포역점,1점,2019.11.30.
70,t9o71j,마포역 할리스커피마포역점,3점,2019.11.21.
71,bernhf,마포역 할리스커피마포역점,5점,2019.08.23.
72,bl395d,마포역 할리스커피마포역점,3점,2019.08.08.
73,dct2he,마포역 할리스커피마포역점,3점,2019.07.13.
74,v8bfko,마포역 할리스커피마포역점,1점,2019.05.06.
75,fl86d9,마포역 할리스커피마포역점,3점,2019.04.25.
76,k1hbpb,마포역 할리스커피마포역점,3점,2018.07.05.
77,,마포역 할리스커피마포역점,,2018.09.11.
78,,마포역 할리스커피마포역점,,2017.08.24.
79,,마포역 할리스커피마포역점,,2017.02.13.
80,,마포역 할리스커피마포역점,,2016.10.23.
81,,마포역 할리스커피마포역점,,2016.08.31.
82,,마포역 할리스커피마포역점,,2016.05.21.
83,,마포역 할리스커피마포역점,,2014.09.21.
84,,마포역 할리스커피마포역점,,2013.12.14.
85,qr9s09,광화문역 씨제이푸드빌,3점,2021.01.10.
86,e7bgmh,광화문역 씨제이푸드빌,3점,2019.08.04.
87,,광화문역 씨제이푸드빌,,2013.08.09.
88,ujj9i8,여의도역 캐리키즈카페,1점,2019.09.10.
89,mppetq,여의도역 캐리키즈카페,3점,2019.08.04.
90,bevb73,여의도역 캐리키즈카페,1점,2018.08.12.
91,8sjlm3,우장산역 통툰만화까페,5점,2021.01.03.
92,mppe6i,우장산역 통툰만화까페,1점,2019.03.17.
93,nh9cnh,우장산역 통툰만화까페,5점,2018.07.21.
94,ktqppm,우장산역 통툰만화까페,5점,2018.02.03.
